step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
278,CASH_IN,330218.42,C632336343,20866.0,351084.42,C834976624,452419.57,122201.15,0,0
15,PAYMENT,11647.08,C1264712553,30370.0,18722.92,M215391829,0.0,0.0,0,0
10,CASH_IN,152264.21,C1746846248,106589.0,258853.21,C1607284477,201303.01,49038.8,0,0
403,TRANSFER,1551760.63,C333676753,0.0,0.0,C1564353608,3198359.45,4750120.08,0,0
206,CASH_IN,78172.3,C813403091,2921331.58,2999503.88,C1091768874,415821.9,337649.6,0,0
259,PAYMENT,915.13,C2002954533,0.0,0.0,M290849763,0.0,0.0,0,0
188,CASH_OUT,20603.87,C813757373,0.0,0.0,C823291717,558068.66,578672.53,0,0
139,CASH_OUT,58605.72,C1850864812,0.0,0.0,C618657299,585494.94,644100.66,0,0
230,PAYMENT,4865.11,C886849972,0.0,0.0,M623175144,0.0,0.0,0,0
544,CASH_OUT,118131.63,C390714641,0.0,0.0,C366360355,8131691.35,8476246.86,0,0
45,CASH_OUT,141100.88,C1514989792,80506.0,0.0,C409578677,89384.09,230484.96,0,0
163,CASH_OUT,384177.48,C94444270,40348.0,0.0,C379896225,0.0,384177.48,0,0
211,CASH_OUT,153486.36,C513018655,20476.0,0.0,C1302281681,85173.16,238659.53,0,0
302,CASH_OUT,51042.59,C122114408,184.0,0.0,C705120650,380143.14,431185.74,0,0
18,PAYMENT,48691.16,C1810046508,0.0,0.0,M487081598,0.0,0.0,0,0
322,PAYMENT,36598.65,C1365498607,8240.66,0.0,M969218364,0.0,0.0,0,0
158,CASH_OUT,124443.29,C12524561,14236.0,0.0,C579157353,0.0,124443.29,0,0
131,CASH_OUT,510190.97,C1564771551,57590.0,0.0,C718731643,115914.88,626105.86,0,0
253,TRANSFER,940927.27,C1346570604,8568.0,0.0,C1178934515,0.0,940927.27,0,0
132,CASH_OUT,240156.34,C807101143,0.0,0.0,C1531623971,2811902.28,3052058.62,0,0
283,CASH_OUT,44360.26,C346953986,0.0,0.0,C526046232,282664.52,327024.78,0,0
43,CASH_OUT,338458.24,C25552315,30283.0,0.0,C75671301,1055729.15,1564103.49,0,0
642,CASH_IN,311748.24,C200195468,4279.0,316027.24,C786997986,27843.39,0.0,0,0
164,DEBIT,151.58,C1576094043,10659.0,10507.42,C1308477441,50706.33,50857.9,0,0
326,PAYMENT,26565.95,C1512675672,0.0,0.0,M1330826048,0.0,0.0,0,0
132,CASH_OUT,6.57,C1286124147,0.0,0.0,C1885613878,2909681.35,2909687.93,0,0
37,CASH_IN,23898.77,C1953063740,50271.0,74169.77,C212080696,205872.37,181973.6,0,0
9,CASH_OUT,26360.78,C470767940,365.0,0.0,C598132143,202458.96,244056.68,0,0
157,CASH_IN,192935.2,C709178804,51937.0,244872.2,C1163988187,171874.85,0.0,0,0
406,TRANSFER,18801.43,C920671013,126.0,0.0,C1418884586,0.0,18801.43,0,0
235,PAYMENT,3516.08,C633099116,0.0,0.0,M2117267163,0.0,0.0,0,0
346,PAYMENT,6987.8,C220437223,0.0,0.0,M1751641542,0.0,0.0,0,0
19,CASH_IN,8808.73,C1717919401,50485.0,59293.73,C645140627,177448.43,168639.7,0,0
208,PAYMENT,24649.07,C1353964860,0.0,0.0,M1059671726,0.0,0.0,0,0
332,CASH_OUT,97562.73,C1894828300,5396.0,0.0,C1975390043,2455585.33,2553148.05,0,0
139,TRANSFER,598680.17,C544409289,45059.0,0.0,C956338890,2559233.0,3157913.17,0,0
304,CASH_OUT,218659.82,C88319926,1005.0,0.0,C1971781194,16320325.66,16592681.56,0,0
686,CASH_IN,304408.97,C893917810,4276845.77,4581254.74,C1327824794,1443186.93,1314479.93,0,0
139,PAYMENT,5090.28,C1405934398,50617.0,45526.72,M839389189,0.0,0.0,0,0
226,CASH_OUT,176016.04,C800760258,0.0,0.0,C358043414,12916654.7,13005481.5,0,0
201,PAYMENT,11605.7,C484951468,0.0,0.0,M1504624467,0.0,0.0,0,0
14,CASH_IN,234850.43,C982073663,669990.79,904841.22,C1216254870,298639.42,49936.17,0,0
323,CASH_OUT,186549.79,C1647129298,0.0,0.0,C1714837024,242473.16,429022.95,0,0
225,CASH_OUT,79042.15,C2086229320,6064.0,0.0,C1654662784,410360.71,489402.86,0,0
138,PAYMENT,5055.72,C315487150,108809.83,103754.11,M1717055694,0.0,0.0,0,0
41,PAYMENT,12020.77,C1235787929,639020.83,627000.06,M1043686153,0.0,0.0,0,0
399,CASH_IN,123326.84,C979213321,5477362.0,5600688.84,C787242927,3470716.16,3347389.32,0,0
120,PAYMENT,14241.21,C1653380908,109207.0,94965.79,M77882578,0.0,0.0,0,0
373,PAYMENT,23480.16,C1099535493,5309.0,0.0,M933507080,0.0,0.0,0,0
179,CASH_IN,195205.19,C2147063789,1961856.75,2157061.94,C1021587874,1150566.93,955361.74,0,0
544,CASH_OUT,145319.54,C237037918,8056.0,0.0,C95318372,696100.99,841420.53,0,0
369,PAYMENT,14270.03,C1496903190,3309.0,0.0,M946866772,0.0,0.0,0,0
275,PAYMENT,6851.17,C1051106607,0.0,0.0,M1348761534,0.0,0.0,0,0
396,CASH_IN,296959.67,C731717743,10609.0,307568.67,C148906605,0.0,0.0,0,0
304,CASH_IN,166630.9,C1410677661,10944.0,177574.9,C704312950,240525.0,73894.11,0,0
162,CASH_IN,165135.41,C677811242,187326.54,352461.95,C788874634,190273.97,25138.56,0,0
304,PAYMENT,1704.03,C74556831,0.0,0.0,M1951402325,0.0,0.0,0,0
22,CASH_IN,390903.09,C41573174,7947520.93,8338424.03,C860929789,707650.38,316747.29,0,0
229,PAYMENT,21061.24,C40966245,0.0,0.0,M1653653617,0.0,0.0,0,0
259,PAYMENT,8129.46,C40866646,0.0,0.0,M182944108,0.0,0.0,0,0
234,PAYMENT,6492.32,C1321671140,252978.2,246485.88,M533921438,0.0,0.0,0,0
304,CASH_OUT,16242.22,C1322294401,0.0,0.0,C160609026,1401840.75,1418082.97,0,0
352,CASH_OUT,286864.49,C998029122,0.0,0.0,C1563899518,598674.63,885539.12,0,0
139,CASH_IN,147351.57,C710908433,6185044.14,6332395.71,C508488713,7292368.53,7145016.96,0,0
229,TRANSFER,21362.19,C1977482177,0.0,0.0,C1554823726,102800.19,124162.37,0,0
186,PAYMENT,16871.75,C1345262134,374693.53,357821.78,M1183610480,0.0,0.0,0,0
406,CASH_OUT,88826.43,C952906355,249733.0,160906.57,C1084012188,963113.59,1051940.02,0,0
469,PAYMENT,38509.2,C174212239,0.0,0.0,M1265795703,0.0,0.0,0,0
399,PAYMENT,7301.4,C239144018,21426.0,14124.6,M1684201690,0.0,0.0,0,0
288,PAYMENT,51907.16,C1577059714,48529.0,0.0,M1955312313,0.0,0.0,0,0
204,PAYMENT,343.06,C1370498771,0.0,0.0,M301320628,0.0,0.0,0,0
232,CASH_OUT,24413.46,C1542135254,5088.0,0.0,C1938475526,0.0,24413.46,0,0
192,CASH_OUT,125568.72,C923977418,55360.0,0.0,C779506402,0.0,125568.72,0,0
13,CASH_OUT,203321.66,C1009192782,7707.02,0.0,C1015529677,223460.41,426782.08,0,0
281,PAYMENT,7452.27,C1418729422,254793.0,247340.73,M1996394103,0.0,0.0,0,0
379,CASH_IN,117253.94,C2029840344,1527903.53,1645157.47,C2142547587,309923.06,192669.12,0,0
159,CASH_OUT,16500.28,C731563967,0.0,0.0,C914957636,1039511.46,1056011.74,0,0
324,PAYMENT,25380.11,C1515172243,0.0,0.0,M849428673,0.0,0.0,0,0
230,CASH_OUT,95623.45,C1025174837,95785.0,161.55,C1337597412,0.0,95623.45,0,0
405,CASH_IN,122899.15,C1358412469,6017.0,128916.15,C1995332832,227088.65,104189.5,0,0
380,CASH_IN,255661.72,C1144246806,1148679.19,1404340.91,C87426661,1991419.36,1735757.64,0,0
307,CASH_OUT,124210.26,C583984242,13648.0,0.0,C408688303,637289.41,761499.67,0,0
43,TRANSFER,406390.63,C449334349,0.0,0.0,C1477190619,596285.7,1002676.33,0,0
404,CASH_IN,12747.45,C1946500289,3027551.36,3040298.81,C748382555,193795.69,181048.24,0,0
36,PAYMENT,17210.24,C2035379457,468747.37,451537.13,M1250735899,0.0,0.0,0,0
401,CASH_IN,287548.26,C2147246002,6300194.15,6587742.41,C1034690288,1211290.25,923741.99,0,0
259,CASH_IN,326712.9,C1906310517,10763635.06,11090347.96,C809795627,2415359.64,2088646.74,0,0
228,PAYMENT,241.89,C1249789290,103317.6,103075.72,M870078784,0.0,0.0,0,0
236,PAYMENT,5883.37,C1938448095,0.0,0.0,M1022031461,0.0,0.0,0,0
